player,nation_code,position,age,club,league,birth_year,goals,assists,matches_played,minutes,nationality
Junior Ajayi,CIV,FW,19,Hellas Verona,ITA-Serie A,2004,0,0,2,13,Ivory Coast
Reda Belahyane,MAR,MF,20,Hellas Verona,ITA-Serie A,2004,0,2,22,1658,Morocco
Boulaye Dia,SEN,"MF,FW",27,Lazio,ITA-Serie A,1996,9,3,35,2177,Senegal
Fisayo Dele-Bashiru,NGA,MF,23,Lazio,ITA-Serie A,2001,3,1,20,947,Nigeria
Reda Belahyane,MAR,MF,20,Lazio,ITA-Serie A,2004,0,0,6,198,Morocco
Hamza Rafia,TUN,MF,25,Lecce,ITA-Serie A,1999,0,0,18,1058,Tunisia
Kialonda,ANG,DF,26,Lecce,ITA-Serie A,1997,0,1,24,2144,Angola
Lameck Banda,ZAM,"MF,FW",23,Lecce,ITA-Serie A,2001,0,1,15,610,ZAM
Lassana Coulibaly,MLI,MF,28,Lecce,ITA-Serie A,1996,1,0,38,2667,Mali
Mohamed Kaba,GUI,MF,22,Lecce,ITA-Serie A,2001,0,0,15,452,Guinea
Ismaël Bennacer,ALG,MF,26,Milan,ITA-Serie A,1997,0,0,6,300,Algeria
Samuel Chukwueze,NGA,"MF,FW",25,Milan,ITA-Serie A,1999,3,2,26,925,Nigeria
Jean-Daniel Akpa-Akpro,CIV,MF,31,Monza,ITA-Serie A,1992,0,0,14,966,Ivory Coast
Keita Baldé,SEN,FW,29,Monza,ITA-Serie A,1995,2,0,11,638,Senegal
Andre-Frank Zambo Anguissa,CMR,MF,28,Napoli,ITA-Serie A,1995,6,4,35,2852,Cameroon
Walid Cheddira,MAR,FW,26,Napoli,ITA-Serie A,1998,0,0,1,12,Morocco
Ange-Yoan Bonny,CIV,FW,20,Parma,ITA-Serie A,2003,6,4,37,2529,Ivory Coast
Drissa Camara,CIV,FW,22,Parma,ITA-Serie A,2002,0,0,21,447,Ivory Coast
Mohamed Haj,TUN,MF,19,Parma,ITA-Serie A,2005,1,2,15,453,Tunisia
Woyo Coulibaly,MLI,DF,25,Parma,ITA-Serie A,1999,0,1,14,1084,Mali
Anass Salah-Eddine,MAR,MF,22,Roma,ITA-Serie A,2002,0,1,3,152,Morocco
Obite N'Dicka,CIV,DF,24,Roma,ITA-Serie A,1999,0,1,38,3420,Ivory Coast
Adam Masina,MAR,DF,30,Torino,ITA-Serie A,1994,1,2,28,1919,Morocco
Adrien Tameze,CMR,"MF,DF",30,Torino,ITA-Serie A,1994,0,0,20,649,Cameroon
Enzo Ebosse,CMR,DF,25,Udinese,ITA-Serie A,1999,0,0,2,90,Cameroon
Hassane Kamara,CIV,"MF,DF",30,Udinese,ITA-Serie A,1994,1,4,30,2001,Ivory Coast
Jordan Zemura,ZIM,"MF,DF",24,Udinese,ITA-Serie A,1999,1,2,23,1415,Zimbabwe
Maduka Okoye,NGA,GK,24,Udinese,ITA-Serie A,1999,0,0,25,2250,Nigeria
Rui Modesto,ANG,MF,24,Udinese,ITA-Serie A,1999,0,1,20,608,Angola
Alfred Duncan,GHA,MF,31,Venezia,ITA-Serie A,1993,0,0,16,957,Ghana
Cheick Oumar Conde,GUI,MF,24,Venezia,ITA-Serie A,2000,0,0,9,151,Guinea
Fali Candé,GNB,DF,26,Venezia,ITA-Serie A,1998,1,1,17,1530,Guinea-Bissau
Saad El Haddad,MAR,MF,19,Venezia,ITA-Serie A,2005,0,0,3,30,Morocco
Frank Onyeka,NGA,MF,26,Augsburg,,1998,0,1,31,2586,Nigeria
Samuel Essende,COD,FW,26,Augsburg,,1998,7,2,30,1636,DR Congo
Steve Mounié,BEN,MF,29,Augsburg,,1994,1,0,16,347,Benin
Adam Aznou,MAR,DF,18,Bayern Munich,,2006,0,0,2,17,Morocco
Aliou Badara Baldé,GUI,FW,21,Bochum,,2002,0,0,5,91,Guinea
Ibrahima Sissoko,MLI,MF,26,Bochum,,1997,2,1,32,2610,Mali
Moritz-Broni Kwarteng,GHA,MF,26,Bochum,,1998,0,0,7,172,Ghana
Ayman Azhil,MAR,MF,23,Dortmund,,2001,0,0,1,24,Morocco
Ramy Bensebaini,ALG,DF,29,Dortmund,,1995,1,6,31,2022,Algeria
Serhou Guirassy,GUI,FW,28,Dortmund,,1996,21,4,30,2598,Guinea
Ellyes Skhiri,TUN,MF,29,Eintracht Frankfurt,,1995,1,2,30,2231,Tunisia
Elye Wahi,CIV,FW,21,Eintracht Frankfurt,,2003,0,0,8,196,Ivory Coast
Fares Chaïbi,ALG,MF,21,Eintracht Frankfurt,,2002,1,3,26,1013,Algeria
Junior Dina Ebimbe,CMR,MF,23,Eintracht Frankfurt,,2000,0,1,7,293,Cameroon
Omar Marmoush,EGY,"FW,MF",25,Eintracht Frankfurt,,1999,15,9,17,1448,Egypt
Nathan N'Goumou,CMR,MF,24,Gladbach,,2000,2,1,19,828,Cameroon
Bazoumana Touré,CIV,"MF,FW",18,Hoffenheim,,2006,0,3,13,609,Ivory Coast
Diadie Samassékou,MLI,MF,28,Hoffenheim,,1996,0,0,8,290,Mali
Gift Orban,NGA,FW,22,Hoffenheim,,2002,4,0,13,687,Nigeria
Ihlas Bebou,TOG,"FW,MF",30,Hoffenheim,,1994,0,0,1,9,Togo
Kevin Akpoguma,NGA,DF,29,Hoffenheim,,1995,0,0,32,2220,Nigeria
Amine Adli,MAR,"MF,FW",24,Leverkusen,,2000,2,0,20,766,Morocco
Edmond Tapsoba,BFA,DF,25,Leverkusen,,1999,0,0,29,2507,Burkina Faso
Nathan Tella,NGA,"MF,FW",25,Leverkusen,,1999,2,4,27,1359,Nigeria
Victor Boniface,NGA,FW,23,Leverkusen,,2000,8,1,19,1008,Nigeria
Aymen Barkok,MAR,MF,26,Mainz 05,,1998,0,0,4,73,Morocco
Amadou Haidara,MLI,MF,26,RB Leipzig,,1998,0,1,28,1320,Mali
Carlo Boukhalfa,MAR,MF,25,St Pauli,,1999,2,0,25,1646,Morocco
Elias Saad,TUN,"FW,MF",24,St Pauli,,1999,3,2,18,900,Tunisia
Morgan Guilavogui,GUI,"FW,MF",26,St Pauli,,1998,6,2,25,1807,Guinea
El Bilal Touré,MLI,FW,22,Stuttgart,,2001,2,1,12,356,Mali
Rani Khedira,TUN,MF,30,Union Berlin,,1994,1,1,32,2723,Tunisia
Derrick Köhn,GHA,"MF,DF",25,Werder Bremen,,1999,2,2,27,1343,Ghana
Felix Agu,NGA,MF,24,Werder Bremen,,1999,3,0,22,1751,Nigeria
Issa Kaboré,BFA,MF,23,Werder Bremen,,2001,0,0,9,308,Burkina Faso
Mohamed Amoura,ALG,"FW,MF",24,Wolfsburg,,2000,10,9,31,2467,Algeria
